weather_id,timestamp,temp,condition
0,2026-01-01 00:00:00,23.3,Sunny
1,2026-01-01 01:00:00,21.7,Sunny
2,2026-01-01 02:00:00,20.9,Cloudy
3,2026-01-01 03:00:00,15.4,Cloudy
4,2026-01-01 04:00:00,16.0,Rainy
5,2026-01-01 05:00:00,19.1,Sunny
6,2026-01-01 06:00:00,21.4,Sunny
7,2026-01-01 07:00:00,23.0,Sunny
8,2026-01-01 08:00:00,23.1,Cloudy
9,2026-01-01 09:00:00,20.5,Cloudy
10,2026-01-01 10:00:00,21.4,Rainy
11,2026-01-01 11:00:00,18.3,Cloudy
12,2026-01-01 12:00:00,24.2,Cloudy
13,2026-01-01 13:00:00,19.6,Sunny
14,2026-01-01 14:00:00,21.7,Cloudy
15,2026-01-01 15:00:00,19.0,Sunny
16,2026-01-01 16:00:00,23.9,Cloudy
17,2026-01-01 17:00:00,15.7,Sunny
18,2026-01-01 18:00:00,20.2,Sunny
19,2026-01-01 19:00:00,23.1,Cloudy
20,2026-01-01 20:00:00,20.4,Sunny
21,2026-01-01 21:00:00,16.2,Rainy
22,2026-01-01 22:00:00,21.8,Cloudy
23,2026-01-01 23:00:00,20.7,Rainy
24,2026-01-02 00:00:00,20.9,Cloudy
25,2026-01-02 01:00:00,18.5,Rainy
26,2026-01-02 02:00:00,16.4,Cloudy
27,2026-01-02 03:00:00,24.7,Sunny
28,2026-01-02 04:00:00,22.8,Cloudy
29,2026-01-02 05:00:00,18.0,Sunny
30,2026-01-02 06:00:00,23.0,Sunny
31,2026-01-02 07:00:00,23.7,Rainy
32,2026-01-02 08:00:00,15.6,Sunny
33,2026-01-02 09:00:00,19.7,Sunny
34,2026-01-02 10:00:00,17.3,Rainy
35,2026-01-02 11:00:00,16.1,Cloudy
36,2026-01-02 12:00:00,15.5,Rainy
37,2026-01-02 13:00:00,23.7,Rainy
38,2026-01-02 14:00:00,18.3,Rainy
39,2026-01-02 15:00:00,21.5,Rainy
40,2026-01-02 16:00:00,22.5,Rainy
41,2026-01-02 17:00:00,16.9,Cloudy
42,2026-01-02 18:00:00,22.5,Cloudy
43,2026-01-02 19:00:00,19.5,Rainy
44,2026-01-02 20:00:00,15.4,Cloudy
45,2026-01-02 21:00:00,19.4,Rainy
46,2026-01-02 22:00:00,20.0,Sunny
47,2026-01-02 23:00:00,15.6,Cloudy
48,2026-01-03 00:00:00,21.4,Sunny
49,2026-01-03 01:00:00,18.6,Cloudy
50,2026-01-03 02:00:00,21.2,Sunny
